idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
1179B,-4.852774,2025-01-07T07:00:00+0000,0.0,458.0,2.5,0.8,209.0,43.31111,110.0,CARREÑA DE CABRALES,69.0,5.2,5.6,5.7,,,,,,,,,,,,,,,,,,,,,,,,
1183X,-4.748056,2025-01-07T07:00:00+0000,0.0,10.0,3.6,1.1,269.0,43.420277,225.0,LLANES,67.0,8.0,8.6,9.9,1011.8,0.2,8.2,1013.0,2.9,20.0,19.0,0.0,10.5,,,,,,0.0,,,,,,,,,
1186P,-5.119247,2025-01-07T07:00:00+0000,0.0,370.0,12.5,6.8,129.0,43.266632,142.0,AMIEVA  PANIZALES,54.0,9.0,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,
1191D,-5.00172,2025-01-07T07:00:00+0000,,1505.0,4.7,2.4,167.0,43.177372,256.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA,83.0,-1.1,-0.7,-0.7,845.3,0.7,,,,,16.0,,,,,,,,,,,,,,,,,
1199X,-5.396674,2025-01-07T07:00:00+0000,0.0,280.0,2.9,0.6,25.0,43.377834,310.0,BARGAÉU PILOÑA,96.0,2.4,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
1203D,-5.247153,2025-01-07T07:00:00+0000,0.0,30.0,4.5,1.8,235.0,43.49235,262.0,COLUNGA,64.0,8.2,9.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1207U,-5.621111,2025-01-07T07:00:00+0000,0.0,25.8,4.0,1.4,296.0,43.523056,178.0,GIJÓN-CAMPUS,63.0,9.7,9.7,10.2,1009.8,0.4,8.7,1013.4,3.0,20.0,16.0,0.0,11.5,,,,,,0.01,,,,,12.3,,,,
1208H,-5.700833,2025-01-07T07:00:00+0000,0.0,5.0,5.6,3.2,270.0,43.559723,261.0,GIJÓN  MUSEL,65.0,9.7,10.3,10.4,1012.7,,,,,,,,,,,102.0,,,,,,,,,,,,
1210X,-5.848572,2025-01-07T07:00:00+0000,0.0,100.0,9.7,6.5,232.0,43.655926,234.0,CABO PEÑAS,65.0,11.2,11.3,11.9,,,,,5.0,,,,,,,234.0,,,,,,,,,,,,
1212E,-6.044173,2025-01-07T07:00:00+0000,0.0,127.0,12.4,6.2,220.0,43.56694,210.0,ASTURIAS/AVILÉS,63.0,10.5,10.9,11.0,997.5,0.6,9.5,1013.8,4.1,,8.0,0.0,,,,,,,,,,,,,,,,
